Sample_ID,dataset,coding,backend,steps,hidden,delta,sample 14628,sample 48598,sample 16049,sample 7296,sample 35741,sample 41905,sample 48540,sample 6717,sample 58469,sample 48265,sample 44348,sample 18024,sample 1639,sample 9144,rob. 14628,rob. 48598,rob. 16049,rob. 7296,rob. 35741,rob. 41905,rob. 48540,rob. 6717,rob. 58469,rob. 48265,rob. 44348,rob. 18024,rob. 1639,rob. 9144
08062027,mnist,latency,np,6,20,"delta(1,)",0.1891169548034668,0.18449664115905762,0.047209978103637695,0.1735677719116211,0.18131327629089355,0.1752920150756836,0.0012288093566894531,0.18396949768066406,0.18381023406982422,0.18260645866394043,0.18068838119506836,0.17412877082824707,0.18024921417236328,0.18654274940490723,Robust,Robust,Not robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
09130953,fmnist,latency,milp,5,20,"delta(3,)",468.5586762428284,20245.602943897247,34.5861177444458,1319.6623895168304,16.5801868438721,541.7586009502411,1159.4461905956268,96.7612504959106,14976.518582105637,34.6365196704865,607.3646430969238,88.0020432472229,3554.8028206825256,66.4785397052765,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust
08310519,fmnist,latency,milp,5,12,"delta(2,)",34.2585480213165,32.8762822151184,70.5380506515503,25.9059205055237,50.1321280002594,699.2110376358032,45.1463289260864,488.9306225776672,403.9894762039185,54.6149411201477,152.7544004917145,46.392326593399,49.9547481536865,12.995760679245,Not robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Not robust,Not robust,Not robust,Robust,Not robust,Not robust
08121100,mnist,latency,np,5,10,"delta(1,)",0.15442800521850586,0.1619858741760254,0.15898799896240234,0.16036629676818848,0.06798505783081055,0.15781188011169434,0.1671593189239502,0.16263723373413086,0.16322731971740723,0.16132473945617676,0.046356916427612305,0.15638375282287598,0.16197586059570312,0.16511964797973633,Not robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust
06112105,mnist,latency,z3,6,20,"delta(1,)",61120.55174160004,69875.74303841591,54301.78794646263,47231.35930943489,1130.064101934433,41306.52957367897,19894.506866693497,1738.5825939178467,14702.105452537537,36460.11576485634,41983.160975933075,49556.13501596451,49716.84789943695,49005.118562459946,Robust,Robust,Not robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
10171441,fmnist,latency,milp,8,20,"delta(1,)",19.3898954391479,9.6604065895081,27.252418756485,4.7273042201996,27.1489870548248,29.7132475376129,16.2195620536804,16.6718037128448,4.1848566532135,13.0471851825714,7.8623757362366,53.8979403972626,9.1763257980347,10.3992629051208,Not robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Not robust,Not robust,Not robust,Robust,Robust,Not robust
08121101,mnist,latency,np,5,14,"delta(1,)",0.1718616485595703,0.16877269744873047,0.16378521919250488,0.16830897331237793,0.16847872734069824,0.03883647918701172,0.17186832427978516,0.1690213680267334,0.17052459716796875,0.17364144325256348,0.16943907737731934,0.1639573574066162,0.16441631317138672,0.173445463180542,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08141000,mnist,latency,np,6,20,"delta(1,)",0.1789546012878418,0.1748497486114502,0.038953542709350586,0.1626894474029541,0.17081570625305176,0.1722278594970703,0.0013229846954345703,0.17389774322509766,0.17625093460083008,0.17499494552612305,0.17187070846557617,0.16881752014160156,0.1721031665802002,0.17533612251281738,Robust,Robust,Not robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
10031859,mnist,latency,milp,8,20,"delta(1,)",2.0332758426666,2.8813092708588,1.5616261959076,2.5474481582642,2.6557235717773,1.9515900611877,3.2778062820435,2.7371051311493,1.869701385498,1.7566294670105,1.9583113193512,1.3577179908752,1.3108344078064,3.695494890213,Not robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust
08121047,fmnist,latency,np,5,12,"delta(1,)",0.0009617805480957031,0.0011358261108398438,0.16788911819458008,0.16720366477966309,0.0011320114135742188,0.20650172233581543,0.15767383575439453,0.23545455932617188,0.18619441986083984,0.0009818077087402344,0.0009899139404296875,0.21355843544006348,0.16557574272155762,0.0009038448333740234,Not robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
