epoch=0 train_acc=0.1446 test_acc=0.2535 elapsed=4.9s
epoch=1 train_acc=0.1752 test_acc=0.2222 elapsed=4.8s
epoch=2 train_acc=0.1752 test_acc=0.1493 elapsed=4.8s
epoch=3 train_acc=0.1658 test_acc=0.1424 elapsed=4.8s
epoch=4 train_acc=0.1956 test_acc=0.2986 elapsed=4.8s
epoch=5 train_acc=0.2092 test_acc=0.1944 elapsed=4.8s
epoch=6 train_acc=0.2177 test_acc=0.1319 elapsed=4.8s
epoch=7 train_acc=0.1990 test_acc=0.3194 elapsed=4.8s
epoch=8 train_acc=0.2253 test_acc=0.2257 elapsed=4.8s
epoch=9 train_acc=0.2007 test_acc=0.2153 elapsed=4.8s
epoch=10 train_acc=0.2406 test_acc=0.3125 elapsed=4.8s
epoch=11 train_acc=0.2398 test_acc=0.2292 elapsed=4.8s
epoch=12 train_acc=0.2457 test_acc=0.1771 elapsed=4.8s
epoch=13 train_acc=0.2381 test_acc=0.2188 elapsed=4.8s
epoch=14 train_acc=0.2313 test_acc=0.2222 elapsed=4.8s
epoch=15 train_acc=0.2457 test_acc=0.3403 elapsed=4.8s
epoch=16 train_acc=0.2653 test_acc=0.1944 elapsed=4.8s
epoch=17 train_acc=0.2653 test_acc=0.2569 elapsed=4.8s
epoch=18 train_acc=0.2704 test_acc=0.2292 elapsed=4.8s
epoch=19 train_acc=0.2679 test_acc=0.1875 elapsed=4.8s
epoch=20 train_acc=0.2823 test_acc=0.1250 elapsed=4.8s
epoch=21 train_acc=0.2483 test_acc=0.3160 elapsed=4.8s
epoch=22 train_acc=0.2730 test_acc=0.2049 elapsed=4.8s
epoch=23 train_acc=0.2985 test_acc=0.2118 elapsed=4.8s
epoch=24 train_acc=0.2900 test_acc=0.3507 elapsed=4.8s
epoch=25 train_acc=0.2934 test_acc=0.2049 elapsed=4.8s
epoch=26 train_acc=0.3010 test_acc=0.3333 elapsed=4.8s
epoch=27 train_acc=0.2908 test_acc=0.2917 elapsed=4.8s
epoch=28 train_acc=0.3206 test_acc=0.1597 elapsed=4.8s
epoch=29 train_acc=0.3138 test_acc=0.4306 elapsed=4.8s
epoch=30 train_acc=0.3248 test_acc=0.3646 elapsed=4.8s
epoch=31 train_acc=0.3070 test_acc=0.1562 elapsed=4.8s
epoch=32 train_acc=0.3231 test_acc=0.3333 elapsed=4.8s
epoch=33 train_acc=0.3087 test_acc=0.0833 elapsed=4.8s
epoch=34 train_acc=0.3461 test_acc=0.4306 elapsed=4.8s
epoch=35 train_acc=0.3002 test_acc=0.3229 elapsed=4.8s
epoch=36 train_acc=0.2934 test_acc=0.1944 elapsed=4.8s
epoch=37 train_acc=0.3248 test_acc=0.3229 elapsed=4.8s
epoch=38 train_acc=0.3104 test_acc=0.4062 elapsed=4.8s
epoch=39 train_acc=0.3180 test_acc=0.3368 elapsed=4.8s
epoch=40 train_acc=0.3010 test_acc=0.3194 elapsed=4.8s
epoch=41 train_acc=0.3027 test_acc=0.2708 elapsed=4.8s
epoch=42 train_acc=0.3129 test_acc=0.1528 elapsed=4.8s
epoch=43 train_acc=0.3078 test_acc=0.3160 elapsed=4.8s
epoch=44 train_acc=0.3367 test_acc=0.2951 elapsed=4.8s
epoch=45 train_acc=0.3104 test_acc=0.2361 elapsed=4.8s
epoch=46 train_acc=0.2985 test_acc=0.2604 elapsed=4.8s
epoch=47 train_acc=0.2976 test_acc=0.1632 elapsed=4.8s
epoch=48 train_acc=0.3418 test_acc=0.3056 elapsed=4.8s
epoch=49 train_acc=0.3384 test_acc=0.2812 elapsed=4.8s
